MOUNTAIN	ELEVATION	PROMINENCE	RANGE	SUBRANGE	LATITUDE	LONGITUDE	4000FOOT	3500FOOT	1800PROM	52VIEW	TOWER
Klem Mountain	2001	461	Lowland	Belknap Range	43.512478	-71.334514	NO	NO	NO	NO	NO
Quarry Mountain	1894	134	Lowland	Belknap Range	43.511416	-71.313052	NO	NO	NO	NO	NO
Straightback Mountain	1890	50	Lowland	Belknap Range	43.506474	-71.300350	NO	NO	NO	NO	NO
Anna Mountain	1660	60	Lowland	Belknap Range	43.504795	-71.317156	NO	NO	NO	NO	NO
Mack Mountain	1945	165	Lowland	Belknap Range	43.504516	-71.333939	NO	NO	NO	NO	NO
Piper Mountain	2044	224	Lowland	Belknap Range	43.503764	-71.377852	NO	NO	NO	NO	NO
Whiteface Mountain	1660	200	Lowland	Belknap Range	43.488887	-71.386834	NO	NO	NO	NO	NO
Mount Kearsarge	2920	2080	Monadnock Mountains	Monadnock Range	43.383245	-71.857142	NO	NO	YES	YES	YES
Blue Job Mountain	1357	517	Lowland		43.331545	-71.116008	NO	NO	NO	NO	YES
Sunapee Mountain	2726	1466	Monadnock Mountains		43.313782	-72.074295	NO	NO	NO	NO	NO
Parker Mountain	1400	700	Lowland		43.280120	-71.169066	NO	NO	NO	NO	NO
Oak Hill	960	520	Lowland		43.279120	-71.505691	NO	NO	NO	NO	YES
Lovewell Mountain	2461	837	Monadnock Mountains		43.203509	-72.061085	NO	NO	NO	NO	NO
Nottingham Mountain	1340	270	Lowland		43.178340	-71.302248	NO	NO	NO	NO	NO
Mount Pawtuckaway	980	560	Lowland		43.120239	-71.197297	NO	NO	NO	NO	NO
South Pawtuckaway	908	368	Lowland		43.101872	-71.181433	NO	NO	NO	NO	YES
Pitcher Mountain	2162	657	Monadnock Mountains		43.094096	-72.134954	NO	NO	NO	NO	YES
Stratham Hill	280	120	Lowland		43.039473	-70.889840	NO	NO	NO	NO	YES
Uncanoonuc Mountain	1324	754	Lowland		42.991063	-71.604998	NO	NO	NO	NO	NO
Hyland Hill	1509	653	Monadnock Mountains		42.959438	-72.384496	NO	NO	NO	NO	YES
North Pack Monadnock	2276	536	Monadnock Mountains	Wapack Range	42.886029	-71.866095	NO	NO	NO	NO	NO
Warner Hill	600	230	Lowland		42.885691	-71.266460	NO	NO	NO	NO	YES
Pack Monadnock	2280	1256	Monadnock Mountains	Wapack Range	42.862132	-71.878871	NO	NO	NO	NO	YES
Mount Monadnock	3150	2130	Monadnock Mountains	Monadnock Range	42.861117	-72.108292	NO	NO	YES	YES	NO
Temple Mountain	2045	567	Monadnock Mountains	Wapack Range	42.827345	-71.885421	NO	NO	NO	NO	NO
Federal Hill	690	150	Lowland		42.804874	-71.630185	NO	NO	NO	NO	YES
